Epoch,Total Loss,Voltage Loss,Current Loss
0,250643232.0,250643232.0,22.048904418945312
500,36981792.0,37734360.0,106045.78125
1000,9275579.0,9758783.0,94706.765625
1500,2963652.75,3182421.25,57158.2734375
2000,772766.5625,855469.25,28442.37109375
2500,160095.515625,180329.265625,11714.712890625
3000,33967.515625,39340.09375,3522.897216796875
3500,16580.052734375,19919.6953125,274.73089599609375
4000,14660.50390625,18300.375,101.0208969116211
4500,14243.4619140625,18236.51171875,86.28669738769531
5000,13705.439453125,18235.77734375,114.42740631103516
5500,13343.7216796875,18235.775390625,117.05840301513672
6000,12794.451171875,18235.564453125,98.5232925415039
6500,12450.3193359375,18236.197265625,155.32850646972656
7000,11913.861328125,18236.4140625,171.9771270751953
7500,11536.306640625,18236.19921875,128.38204956054688
8000,11001.978515625,18235.923828125,151.06063842773438
8500,10639.0546875,18235.94921875,148.10455322265625
9000,10099.7294921875,18235.970703125,155.43319702148438
9500,9743.896484375,18236.060546875,167.62696838378906
9999,9388.7099609375,18236.27734375,180.0181427001953
